"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65134","1.1.1. add user with all fields -- log in with newly created account","Add User","Thu May 22 21:48:31 UTC 2025","passed","Thu May 22 21:49:36 UTC 2025","","1.1 Org Admin","",""
"","5840","1.4. Add item from Item Search -- redirect to Case View /Items tab","Add Item","Thu May 22 21:28:28 UTC 2025","failed","Thu May 22 21:28:34 UTC 2025","","1. Org Admin","",""
"","0","I.C_2 Case with minimum number of fields","","Thu May 22 21:16:14 UTC 2025","skipped","Thu May 22 21:16:14 UTC 2025","","Import Cases","",""
"","0","6 Validation messages for blank values","","Thu May 22 21:16:40 UTC 2025","skipped","Thu May 22 21:16:40 UTC 2025","","Import Legacy Chain of Custody","",""
"","820","3 Import Locations - Precheck Only","","Thu May 22 21:16:59 UTC 2025","failed","Thu May 22 21:17:00 UTC 2025","","Import Locations","",""
"","22188","6. Auto-Assigned Case Number -- Case Number can be edited when Auto-assigning of Case Numbers is enabled for new cases","","Thu May 22 21:22:00 UTC 2025","passed","Thu May 22 21:22:22 UTC 2025","","Edit Case","",""
"","0","1.5. Create and run DR for multiple parent and child locations  - starting with Child loc - switching back to parent location-  No Discrepancies Found","Inventory Reports","Thu May 22 21:16:08 UTC 2025","skipped","Thu May 22 21:16:08 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","72801","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To","","Thu May 22 21:24:21 UTC 2025","passed","Thu May 22 21:25:34 UTC 2025","","Edit Item","",""
"","87993","3.1 --- with required Custom Form filled out, all required fields on Form","Add Item","Thu May 22 21:31:25 UTC 2025","failed","Thu May 22 21:32:53 UTC 2025","","3 Add Item with Custom Form","",""
"","531","2.2 Confirmation on warning modal completes login and logs out user on other machine","Login page","Thu May 22 21:17:06 UTC 2025","failed","Thu May 22 21:17:07 UTC 2025","","2. Warning that user is logged in on other browser or device","",""
"","44026","8.1 verify that required custom form is attached to the case with blank fields","Add Case","Thu May 22 21:23:30 UTC 2025","passed","Thu May 22 21:24:14 UTC 2025","","8. --- with required Custom Form but not filled out, all optional fields on Form","",""
"","19155","8. Add a Case with disabled fields & check if required fields are displayed properly on Case Edit page after enabling","","Thu May 22 21:23:01 UTC 2025","passed","Thu May 22 21:23:20 UTC 2025","","Edit Case","",""
"","15127","A.M_4. Add Media to Task","","Thu May 22 21:40:36 UTC 2025","passed","Thu May 22 21:40:51 UTC 2025","","Add Media","",""
"","0","4. Import update for item status (Disposal transaction)","","Thu May 22 21:16:23 UTC 2025","skipped","Thu May 22 21:16:23 UTC 2025","","Import Item Updates","",""
"","1","2. Item with all fields - Disposed Status","","Thu May 22 21:16:31 UTC 2025","broken","Thu May 22 21:16:31 UTC 2025","","Import Items","",""
"","0","I.C.U_2 Case Updates Import - Precheck Only","","Thu May 22 21:16:05 UTC 2025","skipped","Thu May 22 21:16:05 UTC 2025","","Import Case Updates","",""
"","325976","Add Dispo Task with 11 1DA items and assign to Org Admin, --set different actions for item using all variations--using Actions menu and grid, --check statuses and notes upon submission","","Thu May 22 21:51:57 UTC 2025","failed","Thu May 22 21:57:23 UTC 2025","","Dispo Auth","",""
"","0","2 Import Person with all updated fields - Precheck Only","","Thu May 22 21:17:46 UTC 2025","skipped","Thu May 22 21:17:46 UTC 2025","","Import People Updates","",""
"","0","1.4. Create and run DR for multiple parent and child locations - starting with Child loc -  No Discrepancies Found","Inventory Reports","Thu May 22 21:16:08 UTC 2025","skipped","Thu May 22 21:16:08 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","861","7 Validation messages for wrongly formatted values","","Thu May 22 21:17:23 UTC 2025","failed","Thu May 22 21:17:23 UTC 2025","","Import Notes","",""
"","0","2 Import Legacy Chain of Custody - Precheck Only","","Thu May 22 21:16:40 UTC 2025","skipped","Thu May 22 21:16:40 UTC 2025","","Import Legacy Chain of Custody","",""
"","793","9 Validation messages for blank values","","Thu May 22 21:17:24 UTC 2025","failed","Thu May 22 21:17:25 UTC 2025","","Import Notes","",""
"","537","1. Report from Case View page - Items tab","Reports","Thu May 22 21:17:15 UTC 2025","failed","Thu May 22 21:17:15 UTC 2025","","Verify generating and opening Report ""Primary Label 4X3""","",""
"","41391","1.7. Add Item from Person View/ ""Items Belonging to"" tab -- redirect to Add Duplicate Item page and complete the action","Add Item","Thu May 22 21:29:45 UTC 2025","passed","Thu May 22 21:30:26 UTC 2025","","1. Org Admin","",""
"","577","1.1 Email & Task - when Case created - all records - 1 user as email recipient","Workflows","Thu May 22 21:17:31 UTC 2025","failed","Thu May 22 21:17:32 UTC 2025","","1. Case Workflows - all case fields enabled in Org Settings","",""
"","1","1.1. DR for single parent location - No Discrepancies Found","Inventory Reports","Thu May 22 21:16:08 UTC 2025","broken","Thu May 22 21:16:08 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","23270","5. Add an Item with disabled non required / required fields & check if those are shown up on Item Edit page after enabling","","Thu May 22 21:28:15 UTC 2025","passed","Thu May 22 21:28:38 UTC 2025","","Edit Item","",""
"","2","I.C.U_1. Import Case Updates - all fields -- user and user group in Case Officer(s) field","","Thu May 22 21:16:05 UTC 2025","broken","Thu May 22 21:16:05 UTC 2025","","Import Case Updates","",""
"","7708","2.1 verify that user can add all values but can select only Storage Location(s) that s/he has access to","Add Item","Thu May 22 21:31:17 UTC 2025","failed","Thu May 22 21:31:24 UTC 2025","","2 Power User -- all permissions in Office, with and without access to Storage Location","",""
"","0","7. Item Updates Import - Precheck Only","","Thu May 22 21:16:23 UTC 2025","skipped","Thu May 22 21:16:23 UTC 2025","","Import Item Updates","",""
"","781","3. Import Person with all fields - Precheck Only","","Thu May 22 21:17:37 UTC 2025","failed","Thu May 22 21:17:38 UTC 2025","","Import People","",""
"","2","1. Import updates for all item fields","","Thu May 22 21:16:23 UTC 2025","broken","Thu May 22 21:16:23 UTC 2025","","Import Item Updates","",""
"","0","5. Import update for item status (Undispose transaction)","","Thu May 22 21:16:23 UTC 2025","skipped","Thu May 22 21:16:23 UTC 2025","","Import Item Updates","",""
"","1","2 Import Locations with required fields - verify default properties","","Thu May 22 21:16:59 UTC 2025","skipped","Thu May 22 21:16:59 UTC 2025","","Import Locations","",""
"","8660","1.3.2 --- with required Custom Form but not filled out, all optional fields on Form","Add User","Thu May 22 21:51:13 UTC 2025","failed","Thu May 22 21:51:22 UTC 2025","","1.3 --- with Custom Forms","",""
"","5","5 Five thousand notes for Item and verify notes count on search","","Thu May 22 21:17:22 UTC 2025","skipped","Thu May 22 21:17:22 UTC 2025","","Import Notes","",""
"","17160","Add User ","","Thu May 22 21:47:47 UTC 2025","failed","Thu May 22 21:48:04 UTC 2025","","Add User","",""
"","66025","3.4 --- Duplicating item with Currency Form attached","Add Item","Thu May 22 21:35:30 UTC 2025","passed","Thu May 22 21:36:36 UTC 2025","","3 Add Item with Custom Form","",""
"","1","1 Import Locations with all fields","","Thu May 22 21:16:59 UTC 2025","broken","Thu May 22 21:16:59 UTC 2025","","Import Locations","",""
"","18678","4. Add a Person with disabled fields & check if those are shown up on Person Edit page after enabling all of the rest of the fields and editing Business Name / First Name / Last Name","","Thu May 22 21:30:56 UTC 2025","passed","Thu May 22 21:31:15 UTC 2025","","Edit Person","",""
"","158","S.I_1. Search by Item Description","","Thu May 22 21:16:44 UTC 2025","failed","Thu May 22 21:16:44 UTC 2025","","Search Item","",""
"","722","3 Import Notes for Case - Precheck Only","","Thu May 22 21:17:21 UTC 2025","failed","Thu May 22 21:17:22 UTC 2025","","Import Notes","",""
"","22884","4.3 verify Org Default Case Number Prefix and Org Formatting pattern, before and after page reload","Add Case","Thu May 22 21:19:52 UTC 2025","passed","Thu May 22 21:20:15 UTC 2025","","4. --- with Default Case Number in Org ","",""
"","3","A.U_3. Add External User","Add User","Thu May 22 21:50:53 UTC 2025","skipped","Thu May 22 21:50:53 UTC 2025","","1.1 Org Admin","",""
"","10800","1.2.1. Office Admin can create a new user account","Add User","Thu May 22 21:50:53 UTC 2025","failed","Thu May 22 21:51:04 UTC 2025","","1.2 Power User -- all permissions in Office","",""
"","0","1.2 Org Admin-- minimum case fields -- redirect to Add Case page again","Add Case","Thu May 22 21:16:06 UTC 2025","skipped","Thu May 22 21:16:06 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","1","1 Import Legacy Chain of Custody - Checked In transaction","","Thu May 22 21:16:40 UTC 2025","broken","Thu May 22 21:16:40 UTC 2025","","Import Legacy Chain of Custody","",""
"","16538","1.3. Business Name populated only -- redirect to Add Item page","Add Person","Thu May 22 21:43:24 UTC 2025","passed","Thu May 22 21:43:41 UTC 2025","","1. Org Admin","",""
"","0","I.C_5 Case Import - Precheck Only","","Thu May 22 21:16:14 UTC 2025","skipped","Thu May 22 21:16:14 UTC 2025","","Import Cases","",""
"","643","I.T_1.2 Import Legacy Tasks for Case - Precheck Only","","Thu May 22 21:16:50 UTC 2025","failed","Thu May 22 21:16:51 UTC 2025","","Import Tasks","",""
"","1","1.3 Org Admin-- minimum case fields -- redirect to Add Item page","Add Case","Thu May 22 21:16:06 UTC 2025","skipped","Thu May 22 21:16:06 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","34834","1.5. Add item from Scan page -- redirect to Item View/Media tab","Add Item","Thu May 22 21:28:34 UTC 2025","passed","Thu May 22 21:29:08 UTC 2025","","1. Org Admin","",""
